Iteration,Error_1,Error_2,Error_3,Error_Mean,Loss_1,Loss_2,Loss_3,Loss_Mean,Score,Features_n,Alpha,Lambda,Lambda_bias,Coef1_1,Coef2_1,Coef3_1,Coef4_1,Rési1_1,Rési2_1,Rési3_1,Rési4_1,Coef1_2,Coef2_2,Coef3_2,Coef4_2,Rési1_2,Rési2_2,Rési3_2,Rési4_2,Coef1_3,Coef2_3,Coef3_3,Coef4_3,Rési1_3,Rési2_3,Rési3_3,Rési4_3,Coef1_4,Coef2_4,Coef3_4,Coef4_4,Rési1_4,Rési2_4,Rési3_4,Rési4_4,PosInitiale_1,PosInitiale_2,PosInitiale_3,PosInitiale_4,Logging
42,0.346154,0.330189,0.394231,0.356858,1.145837,0.981329,1.024859,1.050675,0.37494177915,15,0.0731418432956901,0.520744413218603,1.2484126488726,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1
43,0.557692,0.5,0.5,0.519230666666667,1.722389,1.532679,1.727329,1.660799,0.862337771969333,6,0.801135423181898,1.43453665586966,1.01915639166027,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
44,0.5,0.5,0.557692,0.519230666666667,1.390387,1.481767,1.35798,1.41004466666667,0.732138432303111,8,0.442550360639505,0.480463332984461,1.25733837715553,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,0.461538,0.40566,0.403846,0.423681333333333,1.290267,1.10005,1.207776,1.19936433333333,0.508148279899111,7,0.0228428775738069,0.165440966980938,0.350989922291102,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
46,0.480769,0.367925,0.432692,0.427128666666667,1.647816,1.11434,1.148047,1.303401,0.556719931262,13,1.06073524872889,0.243352390646661,0.880831237581962,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1
47,0.528846,0.54717,0.576923,0.550979666666667,1.412073,1.4865,1.522591,1.47372133333333,0.811990488999556,13,0.402770520409495,2.0895034952023,1.66413569989411,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1
48,0.490385,0.396226,0.519231,0.468614,1.229478,1.243602,1.379418,1.284166,0.601778165924,9,2.10130407942216,0.726842006924342,0.882246401834049,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
49,0.644231,0.632075,0.701923,0.659409666666667,1.615689,1.641015,1.662399,1.639701,1.081234689843,14,0.708251397975515,2.11343318380002,0.202910474928035,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
50,0.548077,0.443396,0.403846,0.465106333333333,1.692342,1.197673,1.157718,1.34924433333333,0.627542084647445,7,0.424811470628268,1.83739439736689,2.25408310644997,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
51,0.538462,0.481132,0.375,0.464864666666667,1.277839,1.699421,1.551454,1.50957133333333,0.701746374679556,9,0.556058131813042,1.31451676832098,1.77214218580453,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
